ID,Property_Age,Location_Risk,Disaster_History,Construction_Type,Property_Value,Owner_Age,Insurance_Type,Past_Claims,Claim_Filed
1,52,0,1,2,964348,73,1,5,1
2,93,1,0,1,1682571,51,1,3,1
3,15,1,1,1,779739,43,1,5,0
4,72,0,0,0,3296005,42,0,2,0
5,61,1,0,1,3074188,67,1,3,0
6,21,2,1,2,2924954,62,1,1,0
7,83,1,0,2,3038340,48,0,2,0
8,87,1,0,0,3986044,77,1,5,0
9,75,0,0,1,2183294,70,0,0,0
10,75,1,0,0,2277900,65,2,4,1
11,88,0,1,1,1472299,23,1,5,0
12,100,1,0,0,1005309,65,2,0,0
13,24,2,0,2,4367188,21,1,3,1
14,3,1,1,0,821471,41,2,1,0
15,22,0,0,0,4989603,59,0,4,0
16,53,0,0,2,354557,48,0,1,0
17,2,1,0,1,2313658,36,0,3,1
18,88,1,0,0,3569895,28,1,1,0
19,30,2,0,1,2681295,46,0,2,0
20,38,2,1,0,1601776,22,1,2,0
21,2,1,0,2,3189346,35,1,5,1
22,64,0,1,1,3175034,20,1,5,0
23,60,0,1,0,3665567,57,1,5,0
24,21,0,0,1,3742657,28,0,5,0
25,33,0,0,0,4986973,38,1,3,0
26,76,1,0,2,3497868,47,1,1,1
27,58,1,0,2,1889716,36,2,5,0
28,22,1,1,2,3470263,70,1,3,0
29,89,0,0,1,494283,42,2,4,1
30,49,0,0,1,3787281,52,1,5,1
31,91,0,0,0,172445,29,2,1,0
32,59,0,0,1,3063356,64,0,2,0
33,42,2,0,1,2711558,43,1,0,0
34,92,0,0,1,283863,72,2,2,1
35,60,1,0,2,1305773,73,0,1,1
36,80,0,0,0,4597508,65,1,1,0
37,15,2,0,0,2752851,22,2,1,1
38,62,1,1,0,1839520,36,1,1,1
39,62,0,0,0,3055531,44,0,5,1
40,47,1,0,0,1691763,55,1,4,0
41,62,1,0,1,3738987,46,0,0,1
42,51,2,0,1,300660,29,2,5,1
43,55,0,1,0,4201786,36,0,2,0
44,64,2,0,2,4208596,26,0,4,1
45,3,2,0,0,2184451,35,0,3,0
46,51,2,1,1,3900336,46,1,1,0
47,7,1,1,1,4210445,20,2,2,1
48,21,1,0,1,624966,40,0,3,0
49,73,1,0,2,1665955,47,0,0,1
50,39,1,1,0,785712,63,1,2,0
51,18,1,0,1,3910186,75,2,4,0
52,4,1,1,2,4958123,41,1,5,0
53,89,1,1,1,1449614,70,1,3,0
54,60,1,1,0,2683583,54,1,2,0
55,14,2,0,1,1489483,54,0,5,0
56,9,0,1,1,4364746,21,1,5,0
57,90,2,0,2,4302202,74,1,5,0
58,53,1,1,0,3555079,71,2,4,1
59,2,2,0,0,2099964,78,2,1,0
60,84,1,0,1,2531176,45,1,2,0
61,92,0,0,0,4677066,33,1,5,0
62,60,2,0,0,1518114,30,1,1,0
63,71,0,0,0,3620254,25,0,5,1
64,44,2,1,0,1690306,73,1,3,1
65,8,1,0,0,2515732,70,1,3,0
66,47,1,1,2,2443599,65,2,3,0
67,35,0,0,0,1662057,77,0,1,0
68,78,1,0,0,2326086,42,1,1,0
69,81,0,0,0,1582712,19,1,5,1
70,36,0,0,2,1270327,47,0,4,0
71,50,0,1,2,600499,57,1,2,0
72,4,0,0,2,3782702,20,2,4,0
73,2,2,0,0,2765044,40,2,1,1
74,6,2,0,2,4173588,46,1,2,1
75,54,0,1,1,1931273,58,0,3,0
76,4,1,0,0,2093873,47,2,4,0
77,54,0,0,1,1675355,28,1,4,0
78,93,1,0,2,973174,38,1,4,0
79,63,2,0,2,4071932,80,0,1,0
80,18,2,0,2,2274248,44,0,2,1
